"","lat","lng"
"178",40.0415996,-75.3698895
"179",43.7844397,-88.7878678
"180",52.6139686,0.8864021
"181",50.82253,-0.137163
"182",35.2270869,-80.8431267
"183",25.790654,-80.1300455
"184",37.7749295,-122.4194155
"185",27.950575,-82.4571776
"186",33.9462125,-84.3346473
"187",31.1171194,-97.7277959
"188",40.1111311,-80.610489
"189",41.8239891,-71.4128343
"190",41.7036711,-71.5215024
"191",41.0534302,-73.5387341
"192",30.627977,-96.3344068
"193",41.8780025,-93.097702
"194",50.9280143,-0.4617075
"195",36.153315,-95.971261
"196",51.0486151,-114.0708459
"197",43.661471,-70.2553259
"198",25.8363933,-80.3229626
"199",41.7605849,-88.3200715
"200",36.118537,-95.857444
"201",51.5923654,45.9608031
"202",42.2798023,-83.7366856
"203",36.1626638,-86.7816016
"204",55.864237,-4.251806
"205",40.6781784,-73.9441579
"206",34.1705609,-118.8375937
"207",53.4807593,-2.2426305
"208",47.6044705,-122.3378931
"209",34.968829,-90.1318171
"210",34.9521349,-90.1492725
"211",34.9677591,-90.1367052
"212",42.6960659,-82.7994194
"213",47.0378741,-122.9006951
"214",40.8298006,-74.2401609
"215",39.9611755,-82.9987942
"216",40.9792645,-74.1165313
"217",37.5407246,-77.4360481
"218",39.7589478,-84.1916069
"219",43.653226,-79.3831843
"220",50.7772135,-3.999461
"221",38.9716689,-95.2352501
"222",43.5944677,-83.8888647
"223",41.981532,-81.2518833
"224",54.978252,-1.61778
"225",32.7034972,-97.4187322
"226",37.2707022,-76.7074571
"227",61.92411,25.7481511
"228",40.7723679,-74.6049061
"229",30.2841224,-81.3961338
"230",36.0103561,-84.2696449
"231",33.8958492,-118.2200712
"232",40.7556561,-73.5876273
"233",40.6331249,-89.3985283
"234",36.8689554,-94.367996
"235",41.6005448,-93.6091064
"236",33.7174708,-117.8311428
"237",51.7357938,3.8210035
"238",51.7180023,3.7923999
"239",51.7198412,3.7949831
"240",51.6803568,3.952013
"241",51.4940309,3.8496815
"242",52.132633,5.291266
"243",37.7910245,-122.4039571
"244",51.165691,10.451526
"245",36.6777372,-121.6555013
"246",40.4862157,-74.4518188
"247",26.3070184,-98.1738243
"248",42.3875968,-71.0994968
"249",43.5177659,-70.3772911
"250",32.9412363,-97.1341783
"251",33.9719826,-118.4265872
"252",51.4818445,7.2162363
"253",51.481581,-3.17909
"254",52.9124395,1.0469133
"255",33.0369867,-117.2919818
"256",34.1477849,-118.1445155
"257",38.8375215,-120.8958242
"258",38.5815719,-121.4943996
"259",40.7267682,-73.6342954
"260",49.3199816,-123.0724139
"261",4.570868,-74.297333
"262",40.267072,-74.491869
"263",41.7508391,-88.1535352
"264",39.9652553,-74.3118212
"265",41.2020171,-77.2644152
"266",23.634501,-102.552784
"267",53.8007554,-1.5490774
"268",32.7554883,-97.3307658
"269",40.0812219,-75.0896176
"270",34.0007104,-81.0348144
"271",48.8403734,2.3112488
"272",33.5778631,-101.8551665
"273",52.5390148,0.0850441
"274",39.0066993,-77.4291298
"275",38.9822282,-94.6707917
"276",32.1656221,-82.9000751
"277",54.5259614,15.2551187
"278",42.4439614,-76.5018807
"279",39.9167783,-75.387693
"280",55.378051,-3.435973
"281",28.5383355,-81.3792365
"282",38.851242,-77.0402315
"283",39.1674643,-76.8449341
"284",40.0149856,-105.2705456
"285",38.9887199,-78.358616
"286",43.16103,-77.6109219
"287",33.9802893,-118.4517449
"288",27.0804935,-80.4103957
"289",42.2695216,-71.6161294
"290",34.0489281,-111.0937311
"291",3.4516467,-76.5319854
"292",31.8737712,-89.7336852
"293",42.8142432,-73.9395687
"294",40.5884373,-73.657908
"295",52.0704978,4.3006999
"296",36.6002378,-121.8946761
"297",53.544389,-113.4909267
"298",40.766288,-73.9825185
"299",33.8937913,35.5017767
"300",40.2671941,-86.1349019
"301",40.2986724,-83.067965
"302",50.503887,4.469936
"303",40.2677539,-74.5402506
"304",26.1669711,-80.256595
"305",44.7630567,-85.6206317
"306",33.9412127,-84.2135309
"307",40.0992294,-83.1140771
"308",25.8136388,-80.1888578
"309",53.789954,-2.652147
"310",41.5572567,-87.6656014
"311",43.1426833,-77.7193397
"312",50.263195,-5.051041
"313",41.49932,-81.6943605
"314",1.352083,103.819836
"315",40.7724641,-73.9834889
"316",39.7392358,-104.990251
"317",42.1275267,-87.8289548
"318",6.5243793,3.3792057
"319",43.2994285,-74.2179326
"320",32.0723861,-84.2326876
"321",46.818188,8.227512
"322",31.8023831,-97.0916692
"323",29.2016499,-82.1338961
"324",53.3498053,-6.2603097
"325",45.943161,24.96676
"326",40.0067785,-75.2854622
"327",39.629526,-79.9558968
