"","X","lat","lng","States"
"129",NA,42.0834335,-71.0183787,"Massachusetts"
"130",NA,38.882334,-77.1710914,"Virginia"
"131",NA,40.7263542,-73.9865533,"New York"
"132",NA,42.6334247,-71.3161718,"Massachusetts"
"133",NA,40.5687141,-74.7376619,"New Jersey"
"134",NA,36.1023715,-115.1745559,"Nevada"
"135",NA,39.8422093,-75.1969346,"New Jersey"
"136",NA,45.4312294,-122.7714861,"Oregon"
"137",NA,49.2827291,-123.1207375,"British Columbia"
"138",NA,39.9868904,-75.4007058,"Pennsylvania"
"139",NA,35.1406175,-90.0536592,"Tennessee"
"140",NA,40.4406248,-79.9958864,"Pennsylvania"
"141",NA,40.5795317,-74.1502007,"New York"
"142",NA,37.4315734,-78.6568942,"Virginia"
"143",NA,29.4241219,-98.4936282,"Texas"
"144",NA,59.3293235,18.0685808,NA
"145",NA,40.7762676,-73.977617,"New York"
"146",NA,22.543096,114.057865,NA
"147",NA,-38.1499181,144.3617186,"Victoria"
"148",NA,31.9685988,-99.9018131,"Texas"
"149",NA,50.4452112,-104.6188943,"Saskatchewan"
"150",NA,34.1140497,-83.9811014,"Georgia"
"151",NA,40.7127753,-74.0059728,"New York"
"152",NA,41.9852391,-70.9640988,"Massachusetts"
"153",NA,27.6648274,-81.5157535,"Florida"
"154",NA,39.0911161,-94.4155068,"Missouri"
"155",NA,42.9849233,-81.2452768,"Ontario"
"156",NA,47.7510741,-120.7401385,"Washington"
"157",NA,38.7222524,-9.1393366,NA
"158",NA,44.5588028,-72.5778415,NA
"159",NA,33.4273521,-117.6126004,"California"
"160",NA,39.5500507,-105.7820674,"Colorado"
"161",NA,38.3606736,-75.5993692,"Maryland"
"162",NA,39.768403,-86.158068,NA
"163",NA,44.977753,-93.2650108,"Minnesota"
"164",NA,47.6062095,-122.3320708,"Washington"
"165",NA,35.8203784,-95.674149,"Oklahoma"
"166",NA,42.8864468,-78.8783689,"New York"
"167",NA,51.7520209,-1.2577263,"England"
"168",NA,40.6014555,-79.7597709,"Pennsylvania"
"169",NA,52.3555177,-1.1743197,"England"
"170",NA,40.3753456,-80.7036894,"Ohio"
"171",NA,41.8791979,-87.8431155,"Illinois"
"172",NA,38.5229229,-77.2900787,"Virginia"
"173",NA,32.7766642,-96.7969879,"Texas"
"174",NA,44.0121221,-92.4801989,NA
"175",NA,44.491438,-73.1856832,NA
"176",NA,25.354826,51.183884,NA
"177",NA,35.0853336,-106.6055534,NA
"178",NA,40.0415996,-75.3698895,"Pennsylvania"
"179",NA,43.7844397,-88.7878678,"Wisconsin"
"180",NA,52.6139686,0.8864021,"England"
"181",NA,50.82253,-0.137163,"England"
"182",NA,35.2270869,-80.8431267,"North Carolina"
"183",NA,25.790654,-80.1300455,"Florida"
"184",NA,37.7749295,-122.4194155,"California"
"185",NA,27.950575,-82.4571776,"Florida"
"186",NA,33.9462125,-84.3346473,"Georgia"
"187",NA,31.1171194,-97.7277959,"Texas"
"188",NA,40.1111311,-80.610489,"West Virginia"
"189",NA,41.8239891,-71.4128343,"Rhode Island"
"190",NA,41.7036711,-71.5215024,"Rhode Island"
"191",NA,41.0534302,-73.5387341,"Connecticut"
"192",NA,30.627977,-96.3344068,"Texas"
"193",NA,41.8780025,-93.097702,"Iowa"
"194",NA,50.9280143,-0.4617075,"England"
"195",NA,36.153315,-95.971261,"Oklahoma"
"196",NA,51.0486151,-114.0708459,"Alberta"
"197",NA,43.661471,-70.2553259,"Maine"
"198",NA,25.8363933,-80.3229626,"Florida"
"199",NA,41.7605849,-88.3200715,"Illinois"
"200",NA,36.118537,-95.857444,"Oklahoma"
"201",NA,51.5923654,45.9608031,NA
"202",NA,42.2798023,-83.7366856,"Michigan"
"203",NA,36.1626638,-86.7816016,"Tennessee"
"204",NA,55.864237,-4.251806,NA
"205",NA,40.6781784,-73.9441579,"New York"
"206",NA,34.1705609,-118.8375937,"California"
"207",NA,53.4807593,-2.2426305,"England"
"208",NA,47.6044705,-122.3378931,"Washington"
"209",NA,34.968829,-90.1318171,NA
"210",NA,34.9521349,-90.1492725,NA
"211",NA,34.9677591,-90.1367052,NA
"212",NA,42.6960659,-82.7994194,"Michigan"
"213",NA,47.0378741,-122.9006951,"Washington"
"214",NA,40.8298006,-74.2401609,"New Jersey"
"215",NA,39.9611755,-82.9987942,"Ohio"
"216",NA,40.9792645,-74.1165313,"New Jersey"
"217",NA,37.5407246,-77.4360481,"Virginia"
"218",NA,39.7589478,-84.1916069,"Ohio"
"219",NA,43.653226,-79.3831843,"Ontario"
"220",NA,50.7772135,-3.999461,"England"
"221",NA,38.9716689,-95.2352501,"Kansas"
"222",NA,43.5944677,-83.8888647,"Michigan"
"223",NA,41.981532,-81.2518833,"Ohio"
"224",NA,54.978252,-1.61778,"England"
"225",NA,32.7034972,-97.4187322,"Texas"
"226",NA,37.2707022,-76.7074571,"Virginia"
"227",NA,61.92411,25.7481511,NA
"228",NA,40.7723679,-74.6049061,"New Jersey"
"229",NA,30.2841224,-81.3961338,"Florida"
"230",NA,36.0103561,-84.2696449,"Tennessee"
"231",NA,33.8958492,-118.2200712,"California"
"232",NA,40.7556561,-73.5876273,"New York"
"233",NA,40.6331249,-89.3985283,"Illinois"
"234",NA,36.8689554,-94.367996,"Missouri"
"235",NA,41.6005448,-93.6091064,"Iowa"
"236",NA,33.7174708,-117.8311428,"California"
"237",NA,51.7357938,3.8210035,NA
"238",NA,51.7180023,3.7923999,NA
"239",NA,51.7198412,3.7949831,NA
"240",NA,51.6803568,3.952013,NA
"241",NA,51.4940309,3.8496815,NA
"242",NA,52.132633,5.291266,NA
"243",NA,37.7910245,-122.4039571,"California"
"244",NA,51.165691,10.451526,NA
"245",NA,36.6777372,-121.6555013,"California"
"246",NA,40.4862157,-74.4518188,"New Jersey"
"247",NA,26.3070184,-98.1738243,"Texas"
"248",NA,42.3875968,-71.0994968,"Massachusetts"
"249",NA,43.5177659,-70.3772911,"Maine"
"250",NA,32.9412363,-97.1341783,"Texas"
"251",NA,33.9719826,-118.4265872,"California"
"252",NA,51.4818445,7.2162363,NA
"253",NA,51.481581,-3.17909,NA
"254",NA,52.9124395,1.0469133,"England"
"255",NA,33.0369867,-117.2919818,"California"
"256",NA,34.1477849,-118.1445155,"California"
"257",NA,38.8375215,-120.8958242,"California"
"258",NA,38.5815719,-121.4943996,"California"
"259",NA,40.7267682,-73.6342954,"New York"
"260",NA,49.3199816,-123.0724139,"British Columbia"
"261",NA,4.570868,-74.297333,NA
"262",NA,40.267072,-74.491869,"New Jersey"
"263",NA,41.7508391,-88.1535352,"Illinois"
"264",NA,39.9652553,-74.3118212,"New Jersey"
"265",NA,41.2020171,-77.2644152,"Pennsylvania"
"266",NA,23.634501,-102.552784,NA
"267",NA,NA,NA,NA
"268",NA,32.7554883,-97.3307658,"Texas"
"269",NA,40.0812219,-75.0896176,"Pennsylvania"
"270",NA,34.0007104,-81.0348144,NA
"271",NA,48.8403734,2.3112488,NA
"272",NA,33.5778631,-101.8551665,"Texas"
"273",NA,52.5390148,0.0850441,"England"
"274",NA,39.0066993,-77.4291298,"Virginia"
"275",NA,38.9822282,-94.6707917,"Kansas"
"276",NA,32.1656221,-82.9000751,"Georgia"
"277",NA,NA,NA,NA
"278",NA,42.4439614,-76.5018807,"New York"
"279",NA,39.9167783,-75.387693,"Pennsylvania"
"280",NA,55.378051,-3.435973,NA
"281",NA,28.5383355,-81.3792365,"Florida"
"282",NA,38.851242,-77.0402315,"Virginia"
"283",NA,39.1674643,-76.8449341,"Maryland"
"284",NA,40.0149856,-105.2705456,"Colorado"
"285",NA,38.9887199,-78.358616,"Virginia"
"286",NA,43.16103,-77.6109219,"New York"
"287",NA,33.9802893,-118.4517449,"California"
"288",NA,27.0804935,-80.4103957,"Florida"
"289",NA,42.2695216,-71.6161294,"Massachusetts"
"290",NA,34.0489281,-111.0937311,"Arizona"
"291",NA,3.4516467,-76.5319854,NA
"292",NA,31.8737712,-89.7336852,NA
"293",NA,42.8142432,-73.9395687,"New York"
"294",NA,40.5884373,-73.657908,"New York"
"295",NA,52.0704978,4.3006999,NA
"296",NA,36.6002378,-121.8946761,"California"
"297",NA,53.544389,-113.4909267,"Alberta"
"298",NA,40.766288,-73.9825185,"New York"
"299",NA,33.8937913,35.5017767,NA
"300",NA,40.2671941,-86.1349019,NA
"301",NA,40.2986724,-83.067965,"Ohio"
"302",NA,50.503887,4.469936,NA
"303",NA,40.2677539,-74.5402506,"New Jersey"
"304",NA,26.1669711,-80.256595,"Florida"
"305",NA,44.7630567,-85.6206317,"Michigan"
"306",NA,33.9412127,-84.2135309,"Georgia"
"307",NA,40.0992294,-83.1140771,"Ohio"
"308",NA,25.8136388,-80.1888578,"Florida"
"309",NA,53.789954,-2.652147,"England"
"310",NA,41.5572567,-87.6656014,"Illinois"
"311",NA,43.1426833,-77.7193397,"New York"
"312",NA,50.263195,-5.051041,"England"
"313",NA,41.49932,-81.6943605,"Ohio"
"314",NA,NA,NA,NA
"315",NA,40.7724641,-73.9834889,"New York"
"316",NA,39.7392358,-104.990251,"Colorado"
"317",NA,42.1275267,-87.8289548,"Illinois"
"318",NA,6.5243793,3.3792057,NA
"319",NA,43.2994285,-74.2179326,"New York"
"320",NA,32.0723861,-84.2326876,"Georgia"
"321",NA,46.818188,8.227512,NA
"322",NA,31.8023831,-97.0916692,"Texas"
"323",NA,29.2016499,-82.1338961,"Florida"
"324",NA,NA,NA,NA
"325",NA,45.943161,24.96676,NA
"326",NA,40.0067785,-75.2854622,"Pennsylvania"
"327",NA,39.629526,-79.9558968,"West Virginia"
"328",NA,38.9411119,-76.5410412,"Maryland"
"329",NA,-1.3947505,120.7407425,NA
"330",NA,53.2326344,-2.6103158,"England"
"331",NA,-36.383333,145.4,"Victoria"
"332",NA,52.282316,-1.584927,"England"
"333",NA,34.3293365,134.0579824,NA
"334",NA,50.7487635,-2.3444786,"England"
"335",NA,42.8125913,-70.8772751,"Massachusetts"
"336",NA,NA,NA,NA
"337",NA,52.1306607,-3.7837117,NA
"338",NA,50.2660471,-5.0527125,"England"
"339",NA,40.4167754,-3.7037902,NA
"340",NA,51.903761,-0.196612,"England"
"341",NA,23.424076,53.847818,NA
"342",NA,52.8792745,-2.0571868,"England"
"343",NA,52.6772117,6.190951,NA
"344",NA,52.6429144,6.1994944,NA
"345",NA,52.6775834,6.1870794,NA
"346",NA,52.6845169,6.1917755,NA
"347",NA,52.6581078,6.2092538,NA
"348",NA,52.6426977,6.2006265,NA
"349",NA,52.4387814,6.5016411,NA
"350",NA,53.448717,-2.374697,"England"
"351",NA,48.4284207,-123.3656444,"British Columbia"
"352",NA,53.3123898,-6.3572264,NA
"353",NA,52.5579645,5.9144617,NA
"354",NA,38.2544472,-104.6091409,"Colorado"
"355",NA,NA,NA,NA
"356",NA,53.830186,-1.820804,"England"
"357",NA,NA,NA,NA
"358",NA,33.1958696,-117.3794834,"California"
"359",NA,33.7629826,-84.5137573,"Georgia"
"360",NA,40.2170534,-74.7429384,"New Jersey"
"361",NA,41.6639383,-83.555212,"Ohio"
"362",NA,36.3955891,-97.8783911,"Oklahoma"
"363",NA,35.041539,-85.1583064,"Tennessee"
"364",NA,37.404008,-122.132517,"California"
"365",NA,50.966414,0.095913,"England"
"366",NA,32.3182314,-86.902298,NA
"367",NA,36.860402,-76.3036051,"Virginia"
"368",NA,45.4215296,-75.6971931,"Ontario"
"369",NA,32.8998091,-97.0403352,"Texas"
"370",NA,32.7517028,-97.0675521,"Texas"
"371",NA,40.208512,-75.657972,"Pennsylvania"
"372",NA,36.8529263,-75.977985,"Virginia"
"373",NA,44.309058,-78.319747,"Ontario"
"374",NA,43.8041334,-120.5542012,NA
"375",NA,33.3703197,-112.5837766,"Arizona"
"376",NA,30.4382559,-84.2807329,"Florida"
"377",NA,40.1439985,-75.1157286,"Pennsylvania"
"378",NA,39.4142688,-77.4105409,"Maryland"
"379",NA,27.7676008,-82.6402915,"Florida"
"380",NA,39.9326266,-75.1618345,"Pennsylvania"
"381",NA,40.0084456,-75.26046,"Pennsylvania"
"382",NA,37.5071591,-122.2605222,"California"
"383",NA,40.8147955,-77.8653126,"Pennsylvania"
"384",NA,45.2671352,19.8335496,NA
"385",NA,39.8648194,-75.4257325,"Pennsylvania"
"386",NA,40.0064958,-75.7032742,"Pennsylvania"
"387",NA,52.349557,-1.58073,"England"
"388",NA,46.8771863,-96.7898034,NA
"389",NA,39.9606643,-75.6054882,"Pennsylvania"
"390",NA,38.4852928,-78.951451,"Virginia"
"391",NA,37.2159063,-80.7879407,"Virginia"
"392",NA,36.9765274,-78.5433701,"Virginia"
"393",NA,33.1506744,-96.8236116,"Texas"
"394",NA,30.9842977,-91.9623327,NA
"395",NA,39.0997265,-94.5785667,"Missouri"
"396",NA,43.79355,-79.5121708,"Ontario"
"397",NA,51.253775,-85.323214,"Ontario"
"398",NA,29.6196787,-95.6349463,"Texas"
"399",NA,40.2115109,-74.6796651,"New Jersey"
"400",NA,-6.17511,106.8650395,NA
"401",NA,41.9209018,-73.9612887,"New York"
"402",NA,41.308274,-72.9278835,"Connecticut"
"403",NA,47.5206407,-52.8076818,NA
"404",NA,33.4017766,-86.954437,NA
"405",NA,42.1667072,-83.7816075,"Michigan"
"406",NA,30.087779,-95.633968,"Texas"
"407",NA,33.9533487,-117.3961564,"California"
"408",NA,-6.4764925,107.0303221,NA
"409",NA,33.6475451,-117.5760306,"California"
"410",NA,24.7135517,46.6752957,NA
"411",NA,59.9138688,10.7522454,NA
"412",NA,43.0759678,-107.2902839,NA
"413",NA,40.1416782,-75.1926937,"Pennsylvania"
